Learner SignUp DateTime,Opportunity Name,Opportunity Category,Opportunity End Date,Gender,Country,Institution Name,Current/Intended Major,Status Description,Opportunity Start Date,Age,Engagement Duration,Month of SignUp,Day of Week of SignUp,Day of Month of SignUp,Year of Signup,Year of Birth,Season
14/6/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Pakistan,Other,Other,Started,3/11/2022,24,604,June,Wednesday,14,2023,2001,Summer
1/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Saint Louis University,Information Systems,Started,3/11/2022,24,604,May,Monday,1,2023,2000,Spring
9/4/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Illinois Institute Of Technology,Computer Science,Started,3/11/2022,23,604,April,Sunday,9,2023,2002,Spring
29/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United States,Saint Louis University,Information Systems,Team Allocated,3/11/2022,25,604,August,Tuesday,29,2023,1999,Summer
6/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Computer Science,Started,3/11/2022,24,604,January,Friday,6,2023,2000,Winter
2/3/2024,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Saint Louis University,Mechanical Engineering,Waitlisted,2/3/2024,28,0,March,Saturday,2,2024,1996,Spring
31/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Illinois Institute Of Technology,Computer Science And Engineering,Withdraw,3/11/2022,23,604,May,Wednesday,31,2023,2001,Spring
22/7/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,United Arab Emirates,Other,Artificial Intelligence,Team Allocated,3/11/2022,18,604,July,Saturday,22,2023,2006,Summer
20/3/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,India,Other,Other,Started,3/11/2022,19,604,March,Monday,20,2023,2005,Spring
11/5/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,India,Illinois Institute Of Technology,Computer Science,Team Allocated,3/11/2022,26,604,May,Thursday,11,2023,1998,Spring
4/9/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Data Visualization,Team Allocated,3/11/2022,26,604,September,Monday,4,2023,1998,Fall
28/1/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Female,Nigeria,Other,Business Administration,Started,3/11/2022,27,604,January,Saturday,28,2023,1997,Winter
18/8/2023,Career Essentials: Getting Started With Your Professional Journey,Course,29/6/2024,Male,United States,Saint Louis University,Public Health,Team Allocated,3/11/2022,26,604,August,Friday,18,2023,1998,Summer
